0,春日山城,Kasugayama Castle
1,高田城,Takada Castle
2,桜,Cherry blossoms
3,雪,Snow
4,上越妙高駅,Joetsu Myoko Station
5,関川,Seki River
6,新堀川,Shinbori River
7,保倉川,Hokura River
8,柿,Kaki
9,米俵,Rice Bales
10,塩,Salt
11,餅,Rice Cake
12,米山,Rice Mountain
13,東頚城丘陵,Higashi Kubiki Hills
14,へぎそば,Hegisoba
15,日本酒,Sake
16,のっぺい汁,Noppe
17,ズワイガニ,Snow crab
18,ワイン,Wine
19,いちじく,Fig
20,スキー,Ski
21,ラ・フランス,La France
22,いちご,Strawberry
23,たぬき,Raccoon Dog
24,いのしし,Wild Boar
25,カサブランカ,Casablanca
26,チューリップ,Tulip
27,笹団子,Sasa-dango
28,人魚,Mermaid
29,春日山神社,Kasugayama Shrine
30,鮭,Salmon
31,錦鯉,Colored Carp
